id,date,item
2,1/1/2020,A
2,3/1/2020,
2,5/1/2020,B
2,5/1/2020,C
2,5/1/2020,X
2,7/1/2020,
2,9/1/2020,D
3,1/1/2020,A
3,1/1/2020,E
3,3/1/2020,B
3,5/1/2020,B
3,5/1/2020,C
3,7/1/2020,
3,9/1/2020,D
4,1/1/2020,A
4,3/1/2020,
4,5/1/2020,B
4,7/1/2020,
4,9/1/2020,D
4,9/1/2020,E
1,1/1/2020,
1,3/1/2020,
1,5/1/2020,B
1,5/1/2020,C
1,7/1/2020,
1,9/1/2020,D
1,9/1/2020,E
5,1/1/2020,A
5,1/1/2020,X
5,3/1/2020,B
5,5/1/2020,B
5,5/1/2020,C
5,7/1/2020,Z
5,9/1/2020,A
5,9/1/2020,E
6,1/1/2020,A
6,1/1/2020,Y
6,3/1/2020,B
6,3/1/2020,D
6,5/1/2020,B
6,7/1/2020,
6,9/1/2020,E
6,9/1/2020,Y
10,1/1/2020,V
10,3/1/2020,
10,5/1/2020,
10,7/1/2020,P
10,7/1/2020,W
10,9/1/2020,E
