id,date,item
1,1/1/2020,V
1,3/1/2020,ABG
1,5/1/2020,
1,7/1/2020,
1,9/1/2020,
2,1/1/2020,VE
2,3/1/2020,C
2,5/1/2020,AB
2,7/1/2020,V
2,9/1/2020,
3,1/1/2020,V
3,3/1/2020,A
3,5/1/2020,MVX
3,7/1/2020,
3,9/1/2020,
4,1/1/2020,V
4,3/1/2020,
4,5/1/2020,
4,7/1/2020,MV
4,9/1/2020,
5,1/1/2020,VS
5,3/1/2020,C
5,5/1/2020,
5,7/1/2020,
5,9/1/2020,
6,1/1/2020,VX
6,3/1/2020,CD
6,5/1/2020,AB
6,7/1/2020,K
6,9/1/2020,M
7,1/1/2020,S
7,3/1/2020,AB
7,5/1/2020,MV
7,7/1/2020,
7,9/1/2020,
8,1/1/2020,IJ
8,3/1/2020,QW
8,5/1/2020,DE
8,7/1/2020,
8,9/1/2020,
9,1/1/2020,AJ
9,3/1/2020,W
9,5/1/2020,DE
9,7/1/2020,
9,9/1/2020,
10,1/1/2020,IJ
10,3/1/2020,Q
10,5/1/2020,E
10,7/1/2020,
10,9/1/2020,
