id,date,item
4,1/1/2020,I
4,3/1/2020,LM
4,5/1/2020,
4,7/1/2020,
4,9/1/2020,
2,1/1/2020,IJ
2,3/1/2020,LQ
2,5/1/2020,M
2,7/1/2020,
2,9/1/2020,
3,1/1/2020,AJ
3,3/1/2020,P
3,5/1/2020,K
3,7/1/2020,LM
3,9/1/2020,
7,1/1/2020,AX
7,3/1/2020,B
7,5/1/2020,BC
7,7/1/2020,AE
7,9/1/2020,
5,1/1/2020,KK
5,3/1/2020,
5,5/1/2020,
5,7/1/2020,
5,9/1/2020,
6,1/1/2020,J
6,3/1/2020,N
6,5/1/2020,N
6,7/1/2020,L
6,9/1/2020,
1,1/1/2020,IJ
1,3/1/2020,P
1,5/1/2020,
1,7/1/2020,
1,9/1/2020,
9,1/1/2020,B
9,3/1/2020,BC
9,5/1/2020,DE
9,7/1/2020,
9,9/1/2020,
8,1/1/2020,A
8,3/1/2020,BCX
8,5/1/2020,D
8,7/1/2020,
8,9/1/2020,
10,1/1/2020,J
10,3/1/2020,K
10,5/1/2020,LM
10,7/1/2020,
10,9/1/2020,
