id,date,item
1,1/1/2020,BC
1,3/1/2020,DE
1,5/1/2020,
1,7/1/2020,
1,9/1/2020,
2,1/1/2020,A
2,3/1/2020,BCX
2,5/1/2020,D
2,7/1/2020,
2,9/1/2020,
3,1/1/2020,AE
3,3/1/2020,B
3,5/1/2020,BC
3,7/1/2020,D
3,9/1/2020,
4,1/1/2020,A
4,3/1/2020,B
4,5/1/2020,DE
4,7/1/2020,
4,9/1/2020,
5,1/1/2020,AX
5,3/1/2020,B
5,5/1/2020,BC
5,7/1/2020,Z
5,9/1/2020,AE
6,1/1/2020,AY
6,3/1/2020,BD
6,5/1/2020,B
6,7/1/2020,EY
6,9/1/2020,
7,1/1/2020,AJ
7,3/1/2020,P
7,5/1/2020,K
7,7/1/2020,LM
7,9/1/2020,
8,1/1/2020,IJ
8,3/1/2020,KQ
8,5/1/2020,M
8,7/1/2020,
8,9/1/2020,
9,1/1/2020,I
9,3/1/2020,LM
9,5/1/2020,
9,7/1/2020,
9,9/1/2020,
10,1/1/2020,V
10,3/1/2020,PW
10,5/1/2020,E
10,7/1/2020,
10,9/1/2020,
